item_id,unique_buyers,purchase_count,total_units,avg_price
200,70,3421,4772,0.0
4011,60,872,880,0.74
7206000117,58,834,924,4.0
OPEN DEPT 101,60,560,1141,0.0
7206000717,49,450,483,3.86
20098100000,52,358,947,27.28
7800008240,31,355,372,2.32
20098900000,52,347,746,25.01
7294560153,48,321,397,2.77
7003858505,47,315,399,3.79
7206000111,47,310,407,2.77
4799,46,303,303,1.84
7800008246,23,296,447,2.65
20000500000,40,286,350,8.75
7003837280,47,278,302,3.91
9147504189,27,269,280,3.91
20000900000,45,261,361,10.76
7189903720,49,252,303,6.34
4093,43,251,251,0.65
4065,44,247,398,0.76
2754100123,37,226,366,3.11
3338365020,42,207,230,2.16
150,23,205,379,2.02
OPEN DEPT 135,46,201,201,0.0
4664,42,200,202,1.71
4046,31,200,509,0.91
7294560136,37,193,232,3.22
7003861311,38,191,238,3.29
4663,48,185,186,0.92
20000100000,35,182,251,6.68
7003837286,36,180,188,5.83
20002500000,14,180,188,7.9
7189983548,45,174,210,6.6
OPEN DEPT 102,40,172,241,0.0
4900001463,24,169,189,10.92
7003831131,38,160,227,2.0
7024230125,24,155,177,3.52
7206000711,35,155,175,2.81
7206000132,23,151,162,1.52
OPEN DEPT 109,41,151,212,0.0
2840019914,33,151,173,3.01
4061,38,148,162,2.08
4693,32,145,145,1.45
4072,34,143,146,0.72
3151,31,139,139,1.78
4900000463,12,138,385,2.0
7003831147,40,137,185,2.0
9147593198,16,136,151,3.96
4889,27,136,174,0.71
4062,31,135,225,0.9
4048,30,135,625,0.57
7100760405,2,134,157,5.32
7003858504,38,134,144,2.44
7143001065,34,132,155,1.76
20098300000,37,130,195,1.12
1200000129,20,130,145,2.49
7084781116,13,128,152,2.55
7800008216,25,127,147,7.15
4900000764,26,125,128,2.48
4068,32,125,145,0.76
20098200000,33,122,184,11.64
4076,11,122,133,2.03
20098800000,27,121,229,26.31
7637600054,32,120,132,4.1
20001100000,30,117,148,7.59
9147593098,16,116,119,1.48
7206000128,28,116,132,3.07
7273000620,22,116,169,4.26
7003834818,30,113,230,0.79
7003834790,24,112,298,0.85
OPEN DEPT 131,11,111,144,0.0
3400000240,8,110,119,1.47
4900000044,21,110,112,2.47
OPEN DEPT 110,26,107,215,0.0
1590013401,28,106,196,1.75
1200000559,6,103,103,2.48
7763304737,22,101,110,3.97
303,10,100,121,0.05
7003834448,32,100,115,3.85
3338366602,32,99,110,1.43
4159,29,99,101,1.29
4087,30,98,98,1.38
7267400404,26,97,104,4.56
9147593097,16,95,169,1.47
1200000131,21,94,97,2.48
3560081302,29,94,130,5.02
20000800000,24,92,115,8.21
2840019963,23,92,99,3.03
4070,27,90,96,1.51
7084789840,4,90,91,3.19
2840051646,29,89,97,4.45
2840070569,8,88,90,2.99
7218063717,22,87,137,3.62
20057300000,7,87,92,7.0
20040400000,26,86,105,13.64
20001000000,26,86,119,13.82
78113871011,26,86,95,3.83
2840019961,28,85,94,2.86
7206000256,21,85,116,3.5
7003834345,18,84,112,1.52
3286,29,83,83,1.62
3400000440,19,83,93,1.49
20400300000,16,81,102,7.83
7294561241,23,79,102,3.09
20040500000,23,79,89,10.11
4023,28,78,79,2.37
7800008209,14,77,96,11.17
85000193400,24,77,83,3.58
7206000012,15,77,80,1.98
7024230122,8,77,78,3.66
7003864519,25,76,92,2.29
2754100048,8,76,84,1.49
7342000006,25,75,79,1.91
3400000246,7,75,78,1.59
7342001614,23,74,77,3.27
7003836219,24,74,100,2.44
1230000023,1,73,98,9.78
7206000046,12,73,74,1.88
4900002890,21,73,80,7.64
7003859719,22,73,88,2.5
1128400315,10,73,87,0.93
2100008184,24,72,77,7.92
20030900000,18,71,105,7.48
4900005342,1,71,84,2.09
7310000185,1,71,75,8.16
7218063473,18,70,103,4.82
4032,26,70,81,5.35
4069,25,69,71,0.82
76244641000,1,69,150,4.49
7084781260,8,69,77,3.16
20030000000,22,69,110,6.04
7003858503,19,69,72,3.59
1128400301,14,69,146,0.91
85064500836,4,69,71,2.59
20021200000,28,67,127,12.19
20002200000,15,66,72,39.43
7003834440,19,66,75,3.79
7003830543,25,66,85,2.53
1200000017,15,66,69,12.72
7790053606,25,65,117,4.04
71514150349,26,65,78,3.44
4166,22,64,64,1.17
4300000953,25,64,82,2.32
1111587132,22,64,75,1.9
7003867028,15,64,89,2.89
7206000439,15,64,78,2.67
7003867127,20,64,66,2.37
3107,22,63,63,1.06
7225004919,10,62,74,4.26
7003837284,18,62,72,3.03
7294561190,27,62,70,2.96
4900001464,6,61,79,11.54
4127100495,3,60,73,5.06
OPEN DEPT 108,20,59,98,0.0
20022300000,22,59,113,14.07
7003867131,22,58,67,2.4
2840059668,22,58,63,4.41
7342000011,20,58,61,3.34
7294560134,27,58,61,3.23
20030300000,19,58,69,8.5
5009112008,16,58,71,2.05
8994900032,15,57,69,2.19
7206000803,5,57,58,3.21
7003836258,20,56,70,4.06
7800008340,9,56,57,2.1
7003858528,14,56,64,4.33
