user_id,avg_item_price,median_item_price,std_item_price,min_item_price,max_item_price,unique_items,num_transactions,price_cv,spending_segment,user_type
4054280725,4.2,2.49,6.58,0.05,40.0,424,245,1.57,Normal,loyal
4054286212,4.64,3.58,5.83,0.5,40.0,354,180,1.26,Big Spender,loyal
4054502996,2.64,2.0,2.52,0.29,40.0,282,234,0.95,Frugal,loyal
4056594768,4.0,2.99,4.74,0.0,40.0,372,206,1.18,Normal,loyal
4057567284,3.87,2.99,5.3,0.0,79.99,521,154,1.37,Frugal,loyal
4057885545,4.11,2.99,4.68,0.44,40.0,240,88,1.14,Normal,loyal
5802355014,4.07,3.38,3.46,0.49,40.0,421,55,0.85,Normal,loyal
5803198592,4.4,2.98,6.26,0.0,40.0,654,130,1.42,Big Spender,loyal
6576817785,4.17,2.59,5.93,0.05,40.0,217,116,1.42,Normal,loyal
41105067340,4.76,3.0,5.55,0.0,40.0,675,267,1.17,Big Spender,loyal
41126839657,4.54,3.29,5.78,0.25,41.0,1758,189,1.27,Big Spender,loyal
41142603915,4.82,3.69,3.22,0.65,12.39,149,85,0.67,Big Spender,loyal
41161557698,4.16,3.78,3.02,0.0,40.0,312,120,0.73,Normal,loyal
41168518931,4.34,2.99,6.39,0.0,40.0,665,114,1.47,Big Spender,loyal
41202354657,3.68,3.48,3.29,0.5,40.0,183,72,0.89,Frugal,loyal
41202979696,4.3,3.59,4.05,0.2,40.0,536,207,0.94,Big Spender,loyal
41232690684,4.43,3.49,4.43,0.01,40.0,629,183,1.0,Big Spender,loyal
41259840571,3.64,2.99,3.51,0.33,40.0,701,189,0.96,Frugal,loyal
41268786889,4.67,3.18,6.64,0.33,40.0,205,79,1.42,Big Spender,loyal
41274045475,6.11,2.99,10.22,0.0,40.0,564,102,1.67,Big Spender,loyal
41286097791,4.31,3.64,3.83,0.3,40.0,96,53,0.89,Big Spender,loyal
41303186381,3.7,2.79,4.22,0.5,40.0,244,170,1.14,Frugal,loyal
41306766150,5.39,3.99,5.34,0.5,40.0,234,128,0.99,Big Spender,loyal
41312603814,3.61,2.19,5.85,0.0,40.0,363,107,1.62,Frugal,loyal
41331954810,4.11,2.79,6.12,0.0,79.99,513,232,1.49,Normal,loyal
41362016251,4.21,3.48,3.51,0.0,40.0,515,246,0.83,Normal,loyal
41383606467,5.32,4.49,4.52,0.49,40.0,193,181,0.85,Big Spender,loyal
41401184730,3.98,2.79,4.77,0.2,40.0,568,186,1.2,Normal,loyal
41402620252,3.98,3.49,2.2,0.65,20.69,140,96,0.55,Normal,loyal
41416221680,4.96,3.19,7.57,0.0,100.0,1338,283,1.53,Big Spender,loyal
