ticket_number,pos_number,ticket_datetime,ticket_amount,user_id,item_id,units_sold,item_price,date,hour,day_of_week,month,user_type
155,1,2025-12-16 12:47:00,108.28,41859244564,7294560133,1,3.29,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,2840051779,1,7.29,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,1200000017,1,10.99,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,7206000111,3,2.39,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,7206000813,3,3.19,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,20000500000,1,5.49,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,20100100000,5,5.29,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,20103200000,2,40.0,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,7152416007,3,3.59,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,4065,8,0.69,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,OPEN DEPT 101,2,0.0,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,4690000110,1,2.68,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,20098100000,2,0.0,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,5100010546,4,2.0,2025-12-16,12,Tuesday,2025-12,new
155,1,2025-12-16 12:47:00,108.28,41859244564,200,3,0.0,2025-12-16,12,Tuesday,2025-12,new
166,1,2025-12-16 13:10:00,40.77,41158394412,20043400000,1,1.99,2025-12-16,13,Tuesday,2025-12,new
166,1,2025-12-16 13:10:00,40.77,41158394412,4070,1,1.79,2025-12-16,13,Tuesday,2025-12,new
166,1,2025-12-16 13:10:00,40.77,41158394412,7003867597,1,0.95,2025-12-16,13,Tuesday,2025-12,new
