user_id,user_type,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,segment_description
41416221680,loyal,3,283,10554.93,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41822888993,loyal,1,259,5854.89,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41777750715,loyal,2,117,5544.5199999999995,5,4,5,545,Champion,High spenders who visit often with long-term loyalty
41232690684,loyal,3,183,5374.25,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41932272690,loyal,4,209,5151.86,4,5,5,455,Champion,High spenders who visit often with long-term loyalty
41126839657,loyal,3,189,5113.56,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41521615027,loyal,2,220,4525.56,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41362016251,loyal,2,246,4168.26,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41668606614,loyal,1,191,3995.36,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
4057567284,loyal,3,154,3925.44,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41105067340,loyal,2,267,3887.9,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41504261224,loyal,2,105,3645.3,5,4,5,545,Champion,High spenders who visit often with long-term loyalty
41202979696,loyal,1,207,3600.92,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41706774086,loyal,2,210,3432.65,5,5,5,555,Champion,High spenders who visit often with long-term loyalty
41259840571,loyal,1,189,3171.73,5,5,4,554,Champion,High spenders who visit often with long-term loyalty
4056594768,loyal,4,206,3150.67,4,5,4,454,Champion,High spenders who visit often with long-term loyalty
41306766150,loyal,4,128,2815.58,4,4,4,444,Champion,High spenders who visit often with long-term loyalty
41312603814,loyal,3,107,2561.16,5,4,4,544,Champion,High spenders who visit often with long-term loyalty
41909065674,loyal,4,178,2467.17,4,5,4,454,Champion,High spenders who visit often with long-term loyalty
4054280725,loyal,3,245,2459.17,5,5,4,554,Champion,High spenders who visit often with long-term loyalty
41401184730,loyal,2,186,2330.13,5,5,4,554,Champion,High spenders who visit often with long-term loyalty
41383606467,loyal,1,181,2289.73,5,5,4,554,Champion,High spenders who visit often with long-term loyalty
41726185347,loyal,2,139,2059.19,5,4,4,544,Champion,High spenders who visit often with long-term loyalty
41402620252,loyal,2,96,1921.25,5,4,4,544,Champion,High spenders who visit often with long-term loyalty
41274045475,loyal,11,102,4083.75,3,4,5,345,Loyalist,Consistent shoppers with strong engagement
41470185411,loyal,9,92,3334.04,3,4,4,344,Loyalist,Consistent shoppers with strong engagement
41973065295,loyal,9,104,3294.84,3,4,4,344,Loyalist,Consistent shoppers with strong engagement
41855352331,loyal,7,134,2001.23,3,4,4,344,Loyalist,Consistent shoppers with strong engagement
41718990155,loyal,11,93,1959.41,3,4,4,344,Loyalist,Consistent shoppers with strong engagement
41815389821,loyal,3,82,1440.17,5,4,3,543,Loyalist,Consistent shoppers with strong engagement
4054502996,loyal,11,234,1378.47,3,5,3,353,Loyalist,Consistent shoppers with strong engagement
41303186381,loyal,3,170,1284.62,5,5,3,553,Loyalist,Consistent shoppers with strong engagement
4057885545,loyal,3,88,1218.88,5,4,3,543,Loyalist,Consistent shoppers with strong engagement
6576817785,loyal,1,116,1025.31,5,4,3,543,Loyalist,Consistent shoppers with strong engagement
5802355014,loyal,2,55,3455.46,5,3,5,535,Emerging,Newer customers showing promising purchase patterns
41823472430,loyal,3,63,3405.7599999999998,5,3,5,535,Emerging,Newer customers showing promising purchase patterns
41949602510,loyal,1,52,2167.23,5,3,4,534,Emerging,Newer customers showing promising purchase patterns
41563366248,loyal,3,81,1951.46,5,3,4,534,Emerging,Newer customers showing promising purchase patterns
41556793318,loyal,1,45,1828.5,5,3,4,534,Emerging,Newer customers showing promising purchase patterns
41875261108,loyal,1,64,573.22,5,3,3,533,Emerging,Newer customers showing promising purchase patterns
41256368612,new,4,3,454.55,4,1,2,412,Emerging,Newer customers showing promising purchase patterns
41652041180,new,4,2,434.91999999999996,4,1,2,412,Emerging,Newer customers showing promising purchase patterns
41607535172,loyal,2,54,386.71,5,3,2,532,Emerging,Newer customers showing promising purchase patterns
41496975955,new,4,4,374.40999999999997,4,2,2,422,Emerging,Newer customers showing promising purchase patterns
5807685326,new,5,2,366.23,4,1,2,412,Emerging,Newer customers showing promising purchase patterns
41643124033,loyal,1,52,324.7,5,3,2,532,Emerging,Newer customers showing promising purchase patterns
41712488601,new,5,2,306.29,4,1,2,412,Emerging,Newer customers showing promising purchase patterns
41158394412,new,4,5,294.67,4,2,2,422,Emerging,Newer customers showing promising purchase patterns
41706774086,new,4,21,290.45,4,3,2,432,Emerging,Newer customers showing promising purchase patterns
41575503934,new,5,4,275.26,4,2,1,421,Emerging,Newer customers showing promising purchase patterns
